[scope.glitch.width,scope.glitch.offset,scope.glitch.repeat,scope.glitch.ext_offset,good/bad/crash]
-8.984375,-38.28125,3,60855891,good
-8.984375,-38.28125,3,99431678,good
-8.984375,-38.28125,3,100762470,good
-8.984375,-38.28125,3,33911693,good
-8.984375,-38.28125,3,51839354,good
-8.984375,-38.28125,3,189197853,good
-8.984375,-38.28125,3,11751691,bad
-8.984375,-38.28125,3,45733492,good
-8.984375,-38.28125,3,36733517,good
-8.984375,-38.28125,3,66421933,bad
-8.984375,-38.28125,3,271850166,good
-8.984375,-38.28125,3,56209748,bad
-8.984375,-38.28125,3,215129669,good
-8.984375,-38.28125,3,172300246,good
-8.984375,-38.28125,3,8131911,good
-8.984375,-38.28125,3,123247780,good
-8.984375,-38.28125,3,130835998,good
-8.984375,-38.28125,3,121636811,good
-8.984375,-38.28125,3,104818138,good
-8.984375,-38.28125,3,132870904,good
-8.984375,-38.28125,3,153847050,good
-8.984375,-38.28125,3,51601572,bad
-8.984375,-38.28125,3,216189202,good
-8.984375,-38.28125,3,24042589,good
-8.984375,-38.28125,3,130217901,good
-8.984375,-38.28125,3,62863009,good
-8.984375,-38.28125,3,203749034,bad
-8.984375,-38.28125,3,10732750,good
-8.984375,-38.28125,3,188216690,good
-8.984375,-38.28125,3,71609844,good
-8.984375,-38.28125,3,139634171,good
-8.984375,-38.28125,3,109431434,bad
-8.984375,-38.28125,3,254650232,good
-8.984375,-38.28125,3,242146040,good
-8.984375,-38.28125,3,244587175,good
-8.984375,-38.28125,3,101757283,good
-8.984375,-38.28125,3,194884660,good
-8.984375,-38.28125,3,30529412,bad
-8.984375,-38.28125,3,138704202,good
-8.984375,-38.28125,3,26083129,good
-8.984375,-38.28125,3,218568897,good
-8.984375,-38.28125,3,16935239,good
-8.984375,-38.28125,3,103715197,bad
-8.984375,-38.28125,3,202510464,good
-8.984375,-38.28125,3,28918260,good
-8.984375,-38.28125,3,177393738,good
-8.984375,-38.28125,3,15583822,good
-8.984375,-38.28125,3,90848917,good
-8.984375,-38.28125,3,62926422,good
-8.984375,-38.28125,3,185569584,good
-8.984375,-38.28125,3,23100188,good
-8.984375,-38.28125,3,133568257,good
-8.984375,-38.28125,3,242502436,good
-8.984375,-38.28125,3,174408250,good
-8.984375,-38.28125,3,138730432,bad
-8.984375,-38.28125,3,111624224,good
-8.984375,-38.28125,3,156105027,good
-8.984375,-38.28125,3,217001264,good
-8.984375,-38.28125,3,38154872,good
-8.984375,-38.28125,3,162864227,bad
-8.984375,-38.28125,3,34560256,good
-8.984375,-38.28125,3,144878870,good
-8.984375,-38.28125,3,10056888,good
-8.984375,-38.28125,3,131175503,good
-8.984375,-38.28125,3,188393306,good
-8.984375,-38.28125,3,52037287,good
-8.984375,-38.28125,3,39784225,good
-8.984375,-38.28125,3,230938390,good
-8.984375,-38.28125,3,155413871,good
-8.984375,-38.28125,3,122477212,good
-8.984375,-38.28125,3,195673733,good
-8.984375,-38.28125,3,156864648,good
-8.984375,-38.28125,3,236480814,good
-8.984375,-38.28125,3,119490532,bad
-8.984375,-38.28125,3,153358910,good
-8.984375,-38.28125,3,149604465,good
-8.984375,-38.28125,3,95750051,good
-8.984375,-38.28125,3,229522937,good
-8.984375,-38.28125,3,235706867,good
-8.984375,-38.28125,3,114385704,good
-8.984375,-38.28125,3,36232273,bad
-8.984375,-38.28125,3,84986533,bad
-8.984375,-38.28125,3,52407454,good
-8.984375,-38.28125,3,142756120,good
-8.984375,-38.28125,3,185269121,bad
-8.984375,-38.28125,3,168462914,bad
-8.984375,-38.28125,3,191679293,good
-8.984375,-38.28125,3,172847327,good
-8.984375,-38.28125,3,226423419,bad
-8.984375,-38.28125,3,265553484,good
-8.984375,-38.28125,3,135189840,good
-8.984375,-38.28125,3,167499891,good
-8.984375,-38.28125,3,53055773,good
-8.984375,-38.28125,3,82890534,bad
-8.984375,-38.28125,3,80616467,good
-8.984375,-38.28125,3,95492982,good
-8.984375,-38.28125,3,141927247,good
-8.984375,-38.28125,3,76330826,good
-8.984375,-38.28125,3,136845931,good
-8.984375,-38.28125,3,176377176,good
-8.984375,-38.28125,3,19171882,good
-8.984375,-38.28125,3,216928609,good
-8.984375,-38.28125,3,242456440,good
-8.984375,-38.28125,3,229974563,good
-8.984375,-38.28125,3,136208775,good
-8.984375,-38.28125,3,245099000,good
-8.984375,-38.28125,3,188252382,good
-8.984375,-38.28125,3,146280115,good
-8.984375,-38.28125,3,59043728,good
-8.984375,-38.28125,3,92396136,good
-8.984375,-38.28125,3,65467725,bad
-8.984375,-38.28125,3,6397451,good
-8.984375,-38.28125,3,79378156,good
-8.984375,-38.28125,3,92135444,good
-8.984375,-38.28125,3,58999780,good
-8.984375,-38.28125,3,71629935,good
-8.984375,-38.28125,3,9033814,good
-8.984375,-38.28125,3,113656071,bad
-8.984375,-38.28125,3,136780122,good
-8.984375,-38.28125,3,101180317,good
-8.984375,-38.28125,3,80088557,good
-8.984375,-38.28125,3,223960050,bad
-8.984375,-38.28125,3,223832002,good
-8.984375,-38.28125,3,47043579,good
-8.984375,-38.28125,3,176480400,bad
-8.984375,-38.28125,3,212742587,good
-8.984375,-38.28125,3,31208903,good
-8.984375,-38.28125,3,44609046,good
-8.984375,-38.28125,3,250327830,good
-8.984375,-38.28125,3,178018722,good
-8.984375,-38.28125,3,228736234,good
-8.984375,-38.28125,3,6880900,good
-8.984375,-38.28125,3,54172491,good
-8.984375,-38.28125,3,205748997,good
-8.984375,-38.28125,3,43130993,good
