[scope.glitch.width,scope.glitch.offset,scope.glitch.repeat,scope.glitch.ext_offset,good/bad/crash]
-8.984375,-38.28125,3,101190047,bad
-8.984375,-38.28125,3,206289045,good
-8.984375,-38.28125,3,4117329,bad
-8.984375,-38.28125,3,57457472,good
-8.984375,-38.28125,3,81806139,good
-8.984375,-38.28125,3,170848899,bad
-8.984375,-38.28125,3,127123379,bad
-8.984375,-38.28125,3,11379549,good
-8.984375,-38.28125,3,203308794,good
-8.984375,-38.28125,3,68634562,good
-8.984375,-38.28125,3,9320091,bad
-8.984375,-38.28125,3,82114669,bad
-8.984375,-38.28125,3,151595597,bad
-8.984375,-38.28125,3,113838151,bad
-8.984375,-38.28125,3,25810206,good
-8.984375,-38.28125,3,157978027,good
-8.984375,-38.28125,3,33391128,good
-8.984375,-38.28125,3,154591412,bad
-8.984375,-38.28125,3,184328534,bad
-8.984375,-38.28125,3,195683780,good
-8.984375,-38.28125,3,52918014,good
-8.984375,-38.28125,3,137524597,good
-8.984375,-38.28125,3,213261450,good
-8.984375,-38.28125,3,167766780,good
-8.984375,-38.28125,3,84692349,bad
-8.984375,-38.28125,3,221408924,good
-8.984375,-38.28125,3,48570385,bad
-8.984375,-38.28125,3,147313540,bad
-8.984375,-38.28125,3,96281712,bad
-8.984375,-38.28125,3,137906815,good
-8.984375,-38.28125,3,126002094,good
-8.984375,-38.28125,3,140835179,bad
-8.984375,-38.28125,3,27913026,good
-8.984375,-38.28125,3,170732875,good
-8.984375,-38.28125,3,182014562,good
-8.984375,-38.28125,3,26367285,good
-8.984375,-38.28125,3,161209093,good
-8.984375,-38.28125,3,156437782,good
-8.984375,-38.28125,3,95642239,good
-8.984375,-38.28125,3,111246626,good
-8.984375,-38.28125,3,94815382,good
-8.984375,-38.28125,3,50840706,good
-8.984375,-38.28125,3,181497283,bad
-8.984375,-38.28125,3,43199986,bad
-8.984375,-38.28125,3,166064656,good
-8.984375,-38.28125,3,123679897,good
-8.984375,-38.28125,3,19450265,bad
-8.984375,-38.28125,3,18889762,bad
-8.984375,-38.28125,3,108300640,bad
-8.984375,-38.28125,3,151150048,good
-8.984375,-38.28125,3,18616834,good
-8.984375,-38.28125,3,138224884,bad
-8.984375,-38.28125,3,170659371,bad
-8.984375,-38.28125,3,34112755,bad
-8.984375,-38.28125,3,195791536,good
-8.984375,-38.28125,3,10878768,bad
-8.984375,-38.28125,3,145511680,good
-8.984375,-38.28125,3,46190244,good
-8.984375,-38.28125,3,20753296,bad
-8.984375,-38.28125,3,219359619,good
-8.984375,-38.28125,3,156203910,good
-8.984375,-38.28125,3,59274712,bad
-8.984375,-38.28125,3,207295689,bad
-8.984375,-38.28125,3,113874894,bad
-8.984375,-38.28125,3,150211801,bad
-8.984375,-38.28125,3,119965976,good
-8.984375,-38.28125,3,116920096,good
-8.984375,-38.28125,3,216005390,bad
-8.984375,-38.28125,3,132643581,good
-8.984375,-38.28125,3,164105967,bad
-8.984375,-38.28125,3,135487763,good
-8.984375,-38.28125,3,175524123,bad
-8.984375,-38.28125,3,129584161,good
