[scope.glitch.width,scope.glitch.offset,scope.glitch.repeat,scope.glitch.ext_offset,good/bad/crash]
-8.984375,-38.28125,3,194703402,good
-8.984375,-38.28125,3,52239671,good
-8.984375,-38.28125,3,225994400,bad
-8.984375,-38.28125,3,291523681,good
-8.984375,-38.28125,3,124188028,bad
-8.984375,-38.28125,3,222937145,good
-8.984375,-38.28125,3,130587990,good
-8.984375,-38.28125,3,20870536,good
-8.984375,-38.28125,3,55578325,good
-8.984375,-38.28125,3,21006318,good
-8.984375,-38.28125,3,147393219,good
-8.984375,-38.28125,3,5004265,bad
-8.984375,-38.28125,3,215289817,good
-8.984375,-38.28125,3,186770359,good
-8.984375,-38.28125,3,120796498,good
-8.984375,-38.28125,3,88277544,good
-8.984375,-38.28125,3,184441459,bad
-8.984375,-38.28125,3,215069674,good
-8.984375,-38.28125,3,73238408,bad
-8.984375,-38.28125,3,185780665,good
-8.984375,-38.28125,3,178019283,bad
-8.984375,-38.28125,3,41247306,good
-8.984375,-38.28125,3,250719919,good
-8.984375,-38.28125,3,197508697,good
-8.984375,-38.28125,3,180576874,good
-8.984375,-38.28125,3,53924272,good
-8.984375,-38.28125,3,138617459,good
-8.984375,-38.28125,3,226588245,bad
-8.984375,-38.28125,3,197550071,good
-8.984375,-38.28125,3,181018099,bad
-8.984375,-38.28125,3,22939860,good
-8.984375,-38.28125,3,74138676,bad
-8.984375,-38.28125,3,217060754,good
-8.984375,-38.28125,3,126287836,good
-8.984375,-38.28125,3,103793926,good
-8.984375,-38.28125,3,84185910,good
-8.984375,-38.28125,3,221607969,good
-8.984375,-38.28125,3,165618108,good
-8.984375,-38.28125,3,135980510,bad
-8.984375,-38.28125,3,110236640,bad
-8.984375,-38.28125,3,173518565,good
-8.984375,-38.28125,3,101211645,bad
-8.984375,-38.28125,3,53346167,good
-8.984375,-38.28125,3,234801763,good
-8.984375,-38.28125,3,45030227,good
-8.984375,-38.28125,3,147641489,good
-8.984375,-38.28125,3,42054590,good
-8.984375,-38.28125,3,89182464,bad
-8.984375,-38.28125,3,199463688,good
-8.984375,-38.28125,3,72265036,good
-8.984375,-38.28125,3,52560596,good
-8.984375,-38.28125,3,117383200,good
-8.984375,-38.28125,3,42766566,bad
-8.984375,-38.28125,3,173424929,bad
-8.984375,-38.28125,3,272574543,good
-8.984375,-38.28125,3,592140,good
-8.984375,-38.28125,3,13838035,bad
-8.984375,-38.28125,3,161393150,good
-8.984375,-38.28125,3,19317717,bad
-8.984375,-38.28125,3,19640269,good
-8.984375,-38.28125,3,137170874,good
-8.984375,-38.28125,3,154278442,good
-8.984375,-38.28125,3,162449288,bad
-8.984375,-38.28125,3,126085695,good
-8.984375,-38.28125,3,43197997,good
-8.984375,-38.28125,3,116177975,good
-8.984375,-38.28125,3,227936615,bad
-8.984375,-38.28125,3,195193083,good
-8.984375,-38.28125,3,99867061,bad
-8.984375,-38.28125,3,182251682,good
-8.984375,-38.28125,3,213141414,good
-8.984375,-38.28125,3,139760280,bad
-8.984375,-38.28125,3,157582792,bad
-8.984375,-38.28125,3,14313815,good
-8.984375,-38.28125,3,45778141,bad
-8.984375,-38.28125,3,230493121,good
-8.984375,-38.28125,3,252453437,good
-8.984375,-38.28125,3,174002911,good
-8.984375,-38.28125,3,23689772,good
