[scope.glitch.width,scope.glitch.offset,scope.glitch.repeat,scope.glitch.ext_offset,good/bad/crash]
-8.984375,-38.28125,3,200599471,bad
-8.984375,-38.28125,3,54425994,good
-8.984375,-38.28125,3,177029779,bad
-8.984375,-38.28125,3,55071856,good
-8.984375,-38.28125,3,116087022,bad
-8.984375,-38.28125,3,161264513,bad
-8.984375,-38.28125,3,146032748,bad
-8.984375,-38.28125,3,15235669,good
-8.984375,-38.28125,3,34325501,good
-8.984375,-38.28125,3,208394120,bad
-8.984375,-38.28125,3,205195054,good
-8.984375,-38.28125,3,128111859,good
-8.984375,-38.28125,3,11203497,good
-8.984375,-38.28125,3,196003847,bad
-8.984375,-38.28125,3,183447432,bad
-8.984375,-38.28125,3,167345217,good
-8.984375,-38.28125,3,134952561,good
-8.984375,-38.28125,3,46068214,bad
-8.984375,-38.28125,3,170575620,good
-8.984375,-38.28125,3,115319358,bad
-8.984375,-38.28125,3,65082114,good
-8.984375,-38.28125,3,200719285,bad
-8.984375,-38.28125,3,109827861,good
-8.984375,-38.28125,3,192527570,good
-8.984375,-38.28125,3,54208856,bad
-8.984375,-38.28125,3,211071988,good
-8.984375,-38.28125,3,185891219,bad
-8.984375,-38.28125,3,7728690,good
-8.984375,-38.28125,3,178955196,good
-8.984375,-38.28125,3,59668289,good
-8.984375,-38.28125,3,38709270,good
-8.984375,-38.28125,3,34738599,good
-8.984375,-38.28125,3,58114557,good
-8.984375,-38.28125,3,160378877,good
-8.984375,-38.28125,3,129702630,good
-8.984375,-38.28125,3,205426077,bad
-8.984375,-38.28125,3,104335533,good
-8.984375,-38.28125,3,97785330,good
-8.984375,-38.28125,3,65403090,good
-8.984375,-38.28125,3,222181195,good
-8.984375,-38.28125,3,156806448,bad
-8.984375,-38.28125,3,8265306,good
-8.984375,-38.28125,3,8155737,good
-8.984375,-38.28125,3,197841303,bad
-8.984375,-38.28125,3,78775028,bad
-8.984375,-38.28125,3,145896907,good
-8.984375,-38.28125,3,144067400,good
-8.984375,-38.28125,3,33376362,bad
-8.984375,-38.28125,3,136767598,bad
-8.984375,-38.28125,3,11764922,bad
-8.984375,-38.28125,3,172976406,bad
-8.984375,-38.28125,3,2064220,good
-8.984375,-38.28125,3,124642931,good
-8.984375,-38.28125,3,161103535,good
-8.984375,-38.28125,3,176472023,good
-8.984375,-38.28125,3,150625377,good
-8.984375,-38.28125,3,84185509,good
-8.984375,-38.28125,3,219028737,good
-8.984375,-38.28125,3,85680681,good
-8.984375,-38.28125,3,178802090,bad
-8.984375,-38.28125,3,113669823,good
-8.984375,-38.28125,3,115967198,good
-8.984375,-38.28125,3,186046399,bad
-8.984375,-38.28125,3,53883476,good
-8.984375,-38.28125,3,15087009,good
-8.984375,-38.28125,3,67254747,good
-8.984375,-38.28125,3,52982760,good
-8.984375,-38.28125,3,167565668,bad
-8.984375,-38.28125,3,103161969,good
-8.984375,-38.28125,3,114907275,bad
-8.984375,-38.28125,3,162973921,bad
-8.984375,-38.28125,3,139135484,good
-8.984375,-38.28125,3,41873199,good
-8.984375,-38.28125,3,15815367,good
-8.984375,-38.28125,3,26689507,good
-8.984375,-38.28125,3,20103365,good
-8.984375,-38.28125,3,33776750,good
-8.984375,-38.28125,3,146280582,good
-8.984375,-38.28125,3,147278341,good
-8.984375,-38.28125,3,191687673,bad
-8.984375,-38.28125,3,209154142,good
-8.984375,-38.28125,3,12012156,good
-8.984375,-38.28125,3,12619339,good
-8.984375,-38.28125,3,109186417,good
-8.984375,-38.28125,3,58530618,good
-8.984375,-38.28125,3,99312547,bad
-8.984375,-38.28125,3,160032728,good
-8.984375,-38.28125,3,209689572,bad
-8.984375,-38.28125,3,24317087,good
-8.984375,-38.28125,3,145945125,good
-8.984375,-38.28125,3,87722074,good
-8.984375,-38.28125,3,27966998,bad
-8.984375,-38.28125,3,109318589,good
-8.984375,-38.28125,3,210383654,good
-8.984375,-38.28125,3,12086445,good
-8.984375,-38.28125,3,112870435,good
-8.984375,-38.28125,3,189642983,good
-8.984375,-38.28125,3,122775781,good
-8.984375,-38.28125,3,156106359,good
-8.984375,-38.28125,3,20087057,good
-8.984375,-38.28125,3,10878081,good
-8.984375,-38.28125,3,94566700,good
-8.984375,-38.28125,3,25840397,good
-8.984375,-38.28125,3,181318314,good
-8.984375,-38.28125,3,64337330,good
-8.984375,-38.28125,3,212946494,good
-8.984375,-38.28125,3,21940857,good
-8.984375,-38.28125,3,35912788,good
-8.984375,-38.28125,3,182191683,bad
-8.984375,-38.28125,3,74213737,bad
-8.984375,-38.28125,3,93394898,bad
-8.984375,-38.28125,3,216771457,good
-8.984375,-38.28125,3,204235095,good
-8.984375,-38.28125,3,162413593,bad
-8.984375,-38.28125,3,208145081,good
-8.984375,-38.28125,3,183057325,bad
-8.984375,-38.28125,3,187343942,bad
-8.984375,-38.28125,3,117106002,bad
-8.984375,-38.28125,3,93320666,good
-8.984375,-38.28125,3,139916265,good
-8.984375,-38.28125,3,126076293,good
-8.984375,-38.28125,3,161879483,good
-8.984375,-38.28125,3,104708984,good
-8.984375,-38.28125,3,190857525,good
-8.984375,-38.28125,3,8669305,good
-8.984375,-38.28125,3,11834720,good
-8.984375,-38.28125,3,40785303,bad
-8.984375,-38.28125,3,152362261,good
-8.984375,-38.28125,3,2188758,good
-8.984375,-38.28125,3,140322135,bad
-8.984375,-38.28125,3,29940884,good
-8.984375,-38.28125,3,166593328,good
-8.984375,-38.28125,3,219764929,bad
-8.984375,-38.28125,3,184672027,good
-8.984375,-38.28125,3,127911318,good
-8.984375,-38.28125,3,8930271,good
-8.984375,-38.28125,3,156233485,good
-8.984375,-38.28125,3,49133082,good
-8.984375,-38.28125,3,218921778,good
-8.984375,-38.28125,3,163994901,good
-8.984375,-38.28125,3,9145877,good
-8.984375,-38.28125,3,186488765,good
-8.984375,-38.28125,3,5140508,bad
-8.984375,-38.28125,3,216913284,good
-8.984375,-38.28125,3,115325687,bad
-8.984375,-38.28125,3,13071704,good
-8.984375,-38.28125,3,78437347,good
-8.984375,-38.28125,3,114915578,good
-8.984375,-38.28125,3,43991040,bad
-8.984375,-38.28125,3,17182973,good
-8.984375,-38.28125,3,78314309,good
-8.984375,-38.28125,3,45336374,good
-8.984375,-38.28125,3,26427151,good
-8.984375,-38.28125,3,17914400,good
-8.984375,-38.28125,3,163400563,bad
-8.984375,-38.28125,3,8868777,bad
-8.984375,-38.28125,3,5505957,good
-8.984375,-38.28125,3,182724730,good
-8.984375,-38.28125,3,113626607,bad
