[isogeny,scope.glitch.width,scope.glitch.offset,scope.glitch.repeat,scope.glitch.ext_offset,good/bad/crash]
1,-8.984375,-38.28125,3,33949,crash
1,-8.984375,-38.28125,3,38111,good
1,-8.984375,-38.28125,3,89819,good
1,-8.984375,-38.28125,3,89664,good
1,-8.984375,-38.28125,3,24344,good
1,-8.984375,-38.28125,3,85461,good
1,-8.984375,-38.28125,3,30220,good
1,-8.984375,-38.28125,3,87319,good
1,-8.984375,-38.28125,3,19289,good
1,-8.984375,-38.28125,3,29513,good
1,-8.984375,-38.28125,3,84012,good
1,-8.984375,-38.28125,3,24560,crash
1,-8.984375,-38.28125,3,17068,good
1,-8.984375,-38.28125,3,9284,good
1,-8.984375,-38.28125,3,69641,good
1,-8.984375,-38.28125,3,28038,crash
1,-8.984375,-38.28125,3,38622,crash
1,-8.984375,-38.28125,3,3929,good
1,-8.984375,-38.28125,3,56569,good
1,-8.984375,-38.28125,3,16554,good
1,-8.984375,-38.28125,3,89675,good
1,-8.984375,-38.28125,3,79745,good
1,-8.984375,-38.28125,3,1892,good
1,-8.984375,-38.28125,3,36155,good
1,-8.984375,-38.28125,3,19230,crash
1,-8.984375,-38.28125,3,11135,crash
1,-8.984375,-38.28125,3,34400,good
1,-8.984375,-38.28125,3,59123,good
1,-8.984375,-38.28125,3,57248,crash
1,-8.984375,-38.28125,3,18286,good
1,-8.984375,-38.28125,3,33648,crash
1,-8.984375,-38.28125,3,46628,good
1,-8.984375,-38.28125,3,30675,crash
1,-8.984375,-38.28125,3,63804,good
1,-8.984375,-38.28125,3,72051,good
1,-8.984375,-38.28125,3,73943,good
1,-8.984375,-38.28125,3,56306,good
1,-8.984375,-38.28125,3,87914,good
1,-8.984375,-38.28125,3,47737,crash
1,-8.984375,-38.28125,3,56338,good
1,-8.984375,-38.28125,3,83709,good
1,-8.984375,-38.28125,3,41126,good
1,-8.984375,-38.28125,3,85886,good
1,-8.984375,-38.28125,3,15383,crash
1,-8.984375,-38.28125,3,45349,good
1,-8.984375,-38.28125,3,77946,good
1,-8.984375,-38.28125,3,83072,good
1,-8.984375,-38.28125,3,34458,good
1,-8.984375,-38.28125,3,58770,crash
1,-8.984375,-38.28125,3,72644,good
1,-8.984375,-38.28125,3,80110,good
1,-8.984375,-38.28125,3,17676,good
1,-8.984375,-38.28125,3,57722,good
1,-8.984375,-38.28125,3,88713,good
1,-8.984375,-38.28125,3,58118,good
1,-8.984375,-38.28125,3,70252,good
1,-8.984375,-38.28125,3,23152,good
1,-8.984375,-38.28125,3,38445,good
1,-8.984375,-38.28125,3,26559,good
1,-8.984375,-38.28125,3,23516,good
1,-8.984375,-38.28125,3,68511,good
1,-8.984375,-38.28125,3,46695,crash
1,-8.984375,-38.28125,3,33203,good
1,-8.984375,-38.28125,3,48643,crash
1,-8.984375,-38.28125,3,60223,good
1,-8.984375,-38.28125,3,34310,good
1,-8.984375,-38.28125,3,79364,good
1,-8.984375,-38.28125,3,36719,crash
1,-8.984375,-38.28125,3,51873,good
1,-8.984375,-38.28125,3,17142,crash
1,-8.984375,-38.28125,3,75656,good
1,-8.984375,-38.28125,3,64338,crash
1,-8.984375,-38.28125,3,72094,crash
1,-8.984375,-38.28125,3,30861,good
1,-8.984375,-38.28125,3,74103,good
1,-8.984375,-38.28125,3,30891,good
1,-8.984375,-38.28125,3,25490,crash
1,-8.984375,-38.28125,3,48031,good
1,-8.984375,-38.28125,3,17184,good
1,-8.984375,-38.28125,3,9605,crash
1,-8.984375,-38.28125,3,56411,good
1,-8.984375,-38.28125,3,85359,good
1,-8.984375,-38.28125,3,82456,good
1,-8.984375,-38.28125,3,60772,good
1,-8.984375,-38.28125,3,51078,good
1,-8.984375,-38.28125,3,286,crash
1,-8.984375,-38.28125,3,55616,crash
1,-8.984375,-38.28125,3,5664,good
1,-8.984375,-38.28125,3,29479,good
1,-8.984375,-38.28125,3,18579,crash
1,-8.984375,-38.28125,3,65278,good
1,-8.984375,-38.28125,3,58343,good
1,-8.984375,-38.28125,3,83763,good
1,-8.984375,-38.28125,3,33253,crash
1,-8.984375,-38.28125,3,20940,crash
1,-8.984375,-38.28125,3,54198,good
1,-8.984375,-38.28125,3,32936,good
1,-8.984375,-38.28125,3,45953,good
1,-8.984375,-38.28125,3,26616,good
1,-8.984375,-38.28125,3,82641,good
1,-8.984375,-38.28125,3,49121,crash
1,-8.984375,-38.28125,3,68204,crash
1,-8.984375,-38.28125,3,86096,good
1,-8.984375,-38.28125,3,17958,good
1,-8.984375,-38.28125,3,79102,good
1,-8.984375,-38.28125,3,31151,crash
1,-8.984375,-38.28125,3,65057,good
1,-8.984375,-38.28125,3,27750,good
1,-8.984375,-38.28125,3,80903,good
1,-8.984375,-38.28125,3,5579,crash
1,-8.984375,-38.28125,3,76137,crash
1,-8.984375,-38.28125,3,77494,good
1,-8.984375,-38.28125,3,5066,crash
1,-8.984375,-38.28125,3,47101,good
1,-8.984375,-38.28125,3,76419,crash
1,-8.984375,-38.28125,3,74697,good
1,-8.984375,-38.28125,3,44740,good
1,-8.984375,-38.28125,3,23875,crash
1,-8.984375,-38.28125,3,38709,good
1,-8.984375,-38.28125,3,25281,good
1,-8.984375,-38.28125,3,21560,crash
1,-8.984375,-38.28125,3,89658,good
1,-8.984375,-38.28125,3,72784,good
1,-8.984375,-38.28125,3,14715,crash
1,-8.984375,-38.28125,3,29565,good
1,-8.984375,-38.28125,3,21933,good
1,-8.984375,-38.28125,3,9063,good
1,-8.984375,-38.28125,3,56249,good
1,-8.984375,-38.28125,3,84349,good
1,-8.984375,-38.28125,3,78003,good
1,-8.984375,-38.28125,3,72897,good
1,-8.984375,-38.28125,3,71214,crash
1,-8.984375,-38.28125,3,5090,crash
1,-8.984375,-38.28125,3,57619,good
1,-8.984375,-38.28125,3,44966,good
1,-8.984375,-38.28125,3,84554,bad
1,-8.984375,-38.28125,3,12146,crash
1,-8.984375,-38.28125,3,69021,crash
1,-8.984375,-38.28125,3,390,crash
1,-8.984375,-38.28125,3,16579,crash
1,-8.984375,-38.28125,3,40710,crash
1,-8.984375,-38.28125,3,15928,good
1,-8.984375,-38.28125,3,53484,crash
1,-8.984375,-38.28125,3,39519,good
1,-8.984375,-38.28125,3,35252,crash
1,-8.984375,-38.28125,3,74062,good
1,-8.984375,-38.28125,3,78284,crash
1,-8.984375,-38.28125,3,10149,good
1,-8.984375,-38.28125,3,61590,crash
1,-8.984375,-38.28125,3,68423,crash
1,-8.984375,-38.28125,3,48064,good
1,-8.984375,-38.28125,3,4691,good
1,-8.984375,-38.28125,3,750,good
1,-8.984375,-38.28125,3,41902,good
1,-8.984375,-38.28125,3,43877,good
1,-8.984375,-38.28125,3,20325,good
1,-8.984375,-38.28125,3,65085,crash
1,-8.984375,-38.28125,3,73369,good
1,-8.984375,-38.28125,3,69831,good
1,-8.984375,-38.28125,3,67724,good
1,-8.984375,-38.28125,3,62158,crash
1,-8.984375,-38.28125,3,29236,good
1,-8.984375,-38.28125,3,87753,bad
1,-8.984375,-38.28125,3,27162,good
1,-8.984375,-38.28125,3,38871,crash
1,-8.984375,-38.28125,3,4161,good
1,-8.984375,-38.28125,3,49306,good
1,-8.984375,-38.28125,3,65717,good
1,-8.984375,-38.28125,3,20589,good
1,-8.984375,-38.28125,3,19185,crash
1,-8.984375,-38.28125,3,33858,good
1,-8.984375,-38.28125,3,55753,crash
1,-8.984375,-38.28125,3,89660,good
1,-8.984375,-38.28125,3,28203,good
1,-8.984375,-38.28125,3,33889,good
1,-8.984375,-38.28125,3,55687,good
1,-8.984375,-38.28125,3,77072,crash
1,-8.984375,-38.28125,3,30903,good
1,-8.984375,-38.28125,3,46605,good
1,-8.984375,-38.28125,3,32016,crash
1,-8.984375,-38.28125,3,77607,good
1,-8.984375,-38.28125,3,37665,good
1,-8.984375,-38.28125,3,56085,crash
1,-8.984375,-38.28125,3,26719,crash
1,-8.984375,-38.28125,3,83979,crash
1,-8.984375,-38.28125,3,45983,good
1,-8.984375,-38.28125,3,55761,good
1,-8.984375,-38.28125,3,4995,good
1,-8.984375,-38.28125,3,41542,good
1,-8.984375,-38.28125,3,52119,good
1,-8.984375,-38.28125,3,60382,good
1,-8.984375,-38.28125,3,11372,good
1,-8.984375,-38.28125,3,8989,good
1,-8.984375,-38.28125,3,5978,crash
1,-8.984375,-38.28125,3,78619,bad
1,-8.984375,-38.28125,3,537,good
1,-8.984375,-38.28125,3,85635,good
1,-8.984375,-38.28125,3,40158,crash
1,-8.984375,-38.28125,3,24960,crash
1,-8.984375,-38.28125,3,58918,good
1,-8.984375,-38.28125,3,63011,good
1,-8.984375,-38.28125,3,72697,good
1,-8.984375,-38.28125,3,51077,good
1,-8.984375,-38.28125,3,43630,crash
1,-8.984375,-38.28125,3,8035,good
1,-8.984375,-38.28125,3,37937,good
1,-8.984375,-38.28125,3,69214,good
1,-8.984375,-38.28125,3,57012,good
1,-8.984375,-38.28125,3,17956,good
1,-8.984375,-38.28125,3,19447,crash
1,-8.984375,-38.28125,3,6895,good
1,-8.984375,-38.28125,3,14672,good
1,-8.984375,-38.28125,3,48308,good
1,-8.984375,-38.28125,3,20482,good
1,-8.984375,-38.28125,3,28610,crash
1,-8.984375,-38.28125,3,40365,good
1,-8.984375,-38.28125,3,39762,good
1,-8.984375,-38.28125,3,79068,good
1,-8.984375,-38.28125,3,50901,crash
1,-8.984375,-38.28125,3,38133,good
1,-8.984375,-38.28125,3,4375,good
1,-8.984375,-38.28125,3,45561,crash
1,-8.984375,-38.28125,3,16814,good
1,-8.984375,-38.28125,3,13063,crash
1,-8.984375,-38.28125,3,47321,good
1,-8.984375,-38.28125,3,64344,good
1,-8.984375,-38.28125,3,57917,crash
1,-8.984375,-38.28125,3,76709,good
1,-8.984375,-38.28125,3,76453,good
1,-8.984375,-38.28125,3,56920,crash
1,-8.984375,-38.28125,3,5712,crash
1,-8.984375,-38.28125,3,46012,crash
1,-8.984375,-38.28125,3,70131,good
1,-8.984375,-38.28125,3,38730,good
1,-8.984375,-38.28125,3,16955,crash
1,-8.984375,-38.28125,3,6446,good
1,-8.984375,-38.28125,3,42299,good
1,-8.984375,-38.28125,3,21842,good
1,-8.984375,-38.28125,3,71488,good
1,-8.984375,-38.28125,3,16468,crash
1,-8.984375,-38.28125,3,648,good
1,-8.984375,-38.28125,3,32522,good
1,-8.984375,-38.28125,3,89337,bad
1,-8.984375,-38.28125,3,19628,good
1,-8.984375,-38.28125,3,11756,good
1,-8.984375,-38.28125,3,62774,good
1,-8.984375,-38.28125,3,48714,good
1,-8.984375,-38.28125,3,9224,good
1,-8.984375,-38.28125,3,45217,good
1,-8.984375,-38.28125,3,34612,crash
1,-8.984375,-38.28125,3,28018,crash
1,-8.984375,-38.28125,3,6154,good
1,-8.984375,-38.28125,3,31170,good
1,-8.984375,-38.28125,3,87371,good
1,-8.984375,-38.28125,3,31290,crash
